batch_idx,round_i,sample_idx,alpha,r,tol_accept,accept,mse,sse_p,sse_q,logp,logq,log_ratio,ratio,sigma_eff,sigma_mode,bias
0,0,0,3.4101142954187353e-37,0.6261138319969177,False,False,0.7021196484565735,471.82440185546875,0.16996228694915771,-83.99916076660156,-0.030258480459451675,-83.96890258789062,3.4101142954187353e-37,1.675860047340393,adaptive,1.0
0,0,1,2.7501148259404782e-37,0.913435697555542,False,False,0.6459957957267761,434.1091613769531,0.18588632345199585,-84.2200698852539,-0.03606318309903145,-84.18400573730469,2.7501148259404782e-37,1.6053757667541504,adaptive,1.0
0,0,2,2.8392105033410215e-37,0.15736445784568787,False,False,0.5939429998397827,399.12969970703125,0.16831979155540466,-84.18762969970703,-0.03550335764884949,-84.15213012695312,2.8391887551888552e-37,1.539635419845581,adaptive,1.0
1,0,0,2.7304210894267344e-37,0.5350106358528137,False,False,0.5782790184020996,388.6034851074219,0.2061431109905243,-84.23587799072266,-0.04468474164605141,-84.19119262695312,2.7304210894267344e-37,1.518762230873108,adaptive,1.0
1,0,1,3.4247153770014913e-37,0.17129512131214142,False,False,0.5635577440261841,378.7108154296875,0.17976807057857513,-84.00450897216797,-0.03987561911344528,-83.96463012695312,3.4247153770014913e-37,1.5013693571090698,adaptive,1.0
1,0,2,2.935130616366704e-37,0.835750162601471,False,False,0.5269505977630615,354.11077880859375,0.15468204021453857,-84.1556625366211,-0.03676072508096695,-84.11890411376953,2.935108419799029e-37,1.4504839181900024,adaptive,1.0
