batch_idx,round_i,sample_idx,alpha,r,tol_accept,accept,mse,sse_p,sse_q,logp,logq,log_ratio,ratio,sigma,bias
0,0,0,0.0,0.6261138319969177,False,False,1.3884353637695312,933.028564453125,424.90570068359375,-1866.05712890625,-849.8114013671875,-1016.2457275390625,0.0,0.5,1.0
0,0,1,0.0,0.913435697555542,False,False,1.4671320915222168,985.9127807617188,464.7159423828125,-1971.8255615234375,-929.431884765625,-1042.3936767578125,0.0,0.5,1.0
0,0,2,0.0,0.15736445784568787,False,False,1.3452181816101074,903.986572265625,420.79949951171875,-1807.97314453125,-841.5989990234375,-966.3741455078125,0.0,0.5,1.0
1,0,0,0.0,0.5350106358528137,False,False,1.4595500230789185,980.817626953125,515.3577880859375,-1961.63525390625,-1030.715576171875,-930.919677734375,0.0,0.5,1.0
1,0,1,0.0,0.17129512131214142,False,False,1.3550623655319214,910.6019287109375,449.4202880859375,-1821.203857421875,-898.840576171875,-922.36328125,0.0,0.5,1.0
1,0,2,0.0,0.835750162601471,False,False,1.357920527458191,912.5225830078125,386.70501708984375,-1825.045166015625,-773.4100341796875,-1051.6351318359375,0.0,0.5,1.0
