sigma,bias,k,mse,mae,acceptance_pct,accepted,attempted,total_time_s
0.1,10.0,1,0.4857681095600128,0.480991005897522,0.00,0,0,53
0.1,1.0,1,0.4857681095600128,0.480991005897522,0.00,0,0,54
0.1,10.0,2,0.4856606125831604,0.4809291660785675,0.00,0,0,50
