batch_idx,round_i,sample_idx,alpha,r,tol_accept,accept,mse,sse_p,sse_q,logp,logq,log_ratio,ratio,sigma_eff,sigma_mode,bias
0,0,0,0.0,0.6261138319969177,False,False,0.7021196484565735,471.82440185546875,0.16996228694915771,-223.9977569580078,-0.08068928122520447,-223.9170684814453,0.0,1.0262504816055298,adaptive,1.0
0,0,1,0.0,0.913435697555542,False,False,0.6459957957267761,434.1091613769531,0.18588632345199585,-224.58685302734375,-0.09616849571466446,-224.49069213867188,0.0,0.9830878376960754,adaptive,1.0
0,0,2,0.0,0.15736445784568787,False,False,0.5939429998397827,399.12969970703125,0.16831979155540466,-224.50033569335938,-0.09467561542987823,-224.40565490722656,0.0,0.9428302645683289,adaptive,1.0
1,0,0,0.0,0.5350106358528137,False,False,0.5782790184020996,388.6034851074219,0.2061431109905243,-224.62901306152344,-0.11915931105613708,-224.50985717773438,0.0,0.9300481081008911,adaptive,1.0
1,0,1,0.0,0.17129512131214142,False,False,0.5635577440261841,378.7108154296875,0.17976807057857513,-224.01202392578125,-0.10633498430252075,-223.9056854248047,0.0,0.919397234916687,adaptive,1.0
1,0,2,0.0,0.835750162601471,False,False,0.5269505977630615,354.11077880859375,0.15468204021453857,-224.41510009765625,-0.09802860766649246,-224.31707763671875,0.0,0.8882363438606262,adaptive,1.0
