batch_idx,round_i,sample_idx,alpha,r,tol_accept,accept,mse,sse_p,sse_q,logp,logq,log_ratio,ratio,sigma_eff,sigma_mode,bias
0,0,0,6.976341171416323e-10,0.6261138319969177,False,False,0.1545734703540802,103.87336730957031,0.1699623167514801,-21.11787986755371,-0.03455403447151184,-21.08332633972168,6.976341171416323e-10,1.5682379007339478,adaptive,1.0
0,0,1,7.513141220272246e-10,0.913435697555542,False,False,0.14441803097724915,97.04891967773438,0.18588638305664062,-21.04951286315918,-0.040317997336387634,-21.00919532775879,7.513156208283078e-10,1.518306016921997,adaptive,1.0
0,0,2,7.303895266375093e-10,0.15736445784568787,False,False,0.15461058914661407,103.8983154296875,0.16831979155540466,-21.071578979492188,-0.034136876463890076,-21.03744125366211,7.303909144162901e-10,1.5701484680175781,adaptive,1.0
1,0,0,9.087018359998922e-10,0.5350106358528137,False,False,0.08872831612825394,59.62542724609375,0.20614305138587952,-20.891231536865234,-0.07222727686166763,-20.81900405883789,9.087018359998922e-10,1.194589614868164,adaptive,1.0
1,0,1,7.332481843924654e-10,0.17129512131214142,False,False,0.08111781626939774,54.511173248291016,0.17976810038089752,-21.103132247924805,-0.0695943534374237,-21.033538818359375,7.332467966136846e-10,1.1364604234695435,adaptive,1.0
1,0,2,7.163089565942471e-10,0.835750162601471,False,False,0.08354738354682922,56.14384078979492,0.1546819806098938,-21.115083694458008,-0.058174196630716324,-21.056909561157227,7.163089565942471e-10,1.1530275344848633,adaptive,1.0
